Simulation	T01[F1]	T01[F2]	T01[F3]	T01[F4]	T02[F1]	T02[F2]	T02[F3]	T02[F4]	T03[F1]	T03[F2]	T03[F3]	T03[F4]	T04[F1]	T04[F2]	T04[F3]	T04[F4]	T05[F1]	T05[F2]	T05[F3]	T05[F4]	T06[F1]	T06[F2]	T06[F3]	T06[F4]	T07[F1]	T07[F2]	T07[F3]	T07[F4]	T08[F1]	T08[F2]	T08[F3]	T08[F4]	T09[F1]	T09[F2]	T09[F3]	T09[F4]	T10[F1]	T10[F2]	T10[F3]	T10[F4]	T11[F1]	T11[F2]	T11[F3]	T11[F4]	T12[F1]	T12[F2]	T12[F3]	T12[F4]	T13[F1]	T13[F2]	T13[F3]	T13[F4]	T14[F1]	T14[F2]	T14[F3]	T14[F4]	T15[F1]	T15[F2]	T15[F3]	T15[F4]	T16[F1]	T16[F2]	T16[F3]	T16[F4]	T17[F1]	T17[F2]	T17[F3]	T17[F4]	T18[F1]	T18[F2]	T18[F3]	T18[F4]	T19[F1]	T19[F2]	T19[F3]	T19[F4]	T20[F1]	T20[F2]	T20[F3]	T20[F4]	T21[F1]	T21[F2]	T21[F3]	T21[F4]	T22[F1]	T22[F2]	T22[F3]	T22[F4]	T23[F1]	T23[F2]	T23[F3]	T23[F4]	T24[F1]	T24[F2]	T24[F3]	T24[F4]	T25[F1]	T25[F2]	T25[F3]	T25[F4]	T26[F1]	T26[F2]	T26[F3]	T26[F4]	T27[F1]	T27[F2]	T27[F3]	T27[F4]	T28[F1]	T28[F2]	T28[F3]	T28[F4]	T29[F1]	T29[F2]	T29[F3]	T29[F4]	T30[F1]	T30[F2]	T30[F3]	T30[F4]	Groundwater	Avg Profit	Total Orchards
210	-4.603227973	-6.212736368	2.221688926	1.200095564	0.125151686	-0.400524959	-4.567920566	8.527782559	-2.841573358	-4.909552634	-3.218706846	-4.94918853	0.260299966	9.955061674	-2.86580801	5.767505169	2.023382783	0.311899502	1.09798342	-7.631293535	8.521540165	3.397198021	3.555458188	6.86660111	7.862461209	5.746997595	-0.001626013	-3.027324378	3.688841462	3.819741011	9.81118083	10.15075803	-3.087442815	-5.090290308	-5.131560564	0.388526209	3.947635293	2.62973845	-2.258460671	3.064484596	5.782983899	4.020537734	-8.347384334	7.591919303	-0.253698751	-2.228810638	-0.928780437	3.735370636	-3.532631695	0.782092735	-5.050320029	-1.902656108	2.298783511	0.160592552	1.944998652	-0.689272955	3.915428221	1.870705187	-0.035271842	-7.750917673	3.618018925	2.522113919	-1.76144287	3.372854292	-8.177937269	-3.880841136	1.976656765	9.545193315	1.108754203	8.453752398	8.3195436	-6.979539394	8.245745301	-3.384149373	-0.947229043	-1.319524646	1.672023237	-2.716622055	-2.531875074	4.834828675	3.049973845	2.356523573	-5.892460346	4.01191771	-6.839270592	0.93734242	1.068191379	6.261174679	1.554406136	2.699801326	-2.638765872	-10.29515147	-1.149759218	-3.49501282	1.66214183	5.751670599	12.79317141	7.012426853	2.128304839	-6.742806435	-9.034431577	0.314671658	5.936921239	-1.423100531	5.222060084	4.454573095	-2.035769075	3.053234518	5.485855937	-3.352521956	3.769120872	5.675116777	-12.04420447	-5.918529034	5.434880257	5.76222837	-3.998795152	-7.367414832	1.932776421	-0.230555534	898.8083207	68089.65365	153.3707593
211	2.985914369	5.968823204	-3.936375877	-1.207125891	6.371485754	3.097452033	0.604225534	4.356219951	-2.119136112	-0.636913785	-4.823533825	7.568156377	4.284113154	-0.971199226	1.949850784	2.586842566	1.79363646	1.926902239	-4.995183236	4.824829894	-4.57730803	-6.892128795	-4.240201966	10.65502962	0.78077869	6.736877371	-3.533594161	-6.969012051	1.931665512	1.726453334	5.561435037	5.028125259	-4.946029939	4.080708441	-0.956543833	7.609463623	0.959649201	-2.365601519	6.804436334	4.658322182	1.481396808	1.874777431	3.30746183	8.829100843	-9.408329434	0.818185346	2.305332356	2.965174281	6.320710315	1.374827189	-0.441855099	6.594930083	4.862727915	-1.646392776	-1.955904692	-4.985076196	2.735331933	3.106983406	-1.82367268	15.42558901	-0.088114337	-3.022551522	-5.290676299	-3.088243582	6.333291695	7.38324066	1.80209922	9.702829523	5.109609233	9.269530995	-6.017688205	-5.589994149	-2.618393335	-5.163443567	-7.727640961	-5.640716946	4.09442227	-7.286519316	4.304701237	3.305320424	-1.890354232	2.316259042	-12.14639188	-2.907891082	-5.923623505	1.7405708	-3.281016393	5.613855562	10.73122575	0.24148086	0.090712639	4.896711177	-5.501982391	8.306845016	0.006975695	-0.123668189	-2.722736903	4.663876385	-2.017636989	-1.244699447	1.326163884	-2.11987586	3.275889041	4.298073161	5.156038223	12.33068848	4.728706718	-7.166870112	-6.004736495	-5.028094725	8.543826915	-5.073413863	5.496577485	2.322467998	-5.981881595	3.830654551	-3.52780972	-1.444247112	-0.594525322	5.606316023	840.342407	71867.3117	161.8036853
212	-3.762322366	7.345300317	4.204680324	-1.127447709	0.586307906	-4.095708728	4.579244554	-0.893156081	0.259372331	9.7962749	-5.808874965	2.60186255	1.6358459	-1.417275369	-0.331699289	0.248293858	-7.229927778	-7.830443382	-3.395219445	5.193328261	0.723162591	-5.211101174	6.576435566	-4.18617487	4.624842405	0.199603401	2.066984475	-3.633331954	-5.79164207	6.683477163	2.573724389	-2.323623896	-6.689268351	0.115783922	2.690118551	8.431658745	-3.225497305	-3.752242923	7.994759679	-5.733079314	2.203195244	-6.369240284	-4.79501605	8.450235724	-3.734422922	-9.001251459	6.857475042	2.766027451	-5.978002548	4.213215411	-0.789494962	-4.165842533	-2.396544516	1.967291683	2.604551017	0.329501852	-4.970993996	-4.05872345	-0.28003918	1.088871881	-4.445586801	-2.369354069	-4.537504315	-0.356679782	-0.444256738	3.135195971	-6.173673868	-4.17794317	7.586743236	-1.456751227	2.016436905	-5.754419565	3.629929721	5.465374589	-4.473496675	-3.741443753	-5.274718404	-2.363648117	-4.84293431	-3.973240256	10.6586659	-1.533586383	-4.653071165	6.87543273	-0.905672982	-6.891503334	6.421598792	0.364440717	8.999555707	-1.858061254	-7.011904716	-1.135201827	1.097828522	-8.400844336	-2.580156028	-0.08498989	-0.966230035	-0.595123358	1.937171221	12.01294303	-2.644412816	2.294634283	-4.573142529	0.926886871	-15.74044824	-0.979848504	6.294125319	-3.828018308	7.182147503	5.069397688	6.207279563	5.976942778	0.504051819	-5.373492837	-1.315919012	0.107926773	-7.83865571	2.133258879	-5.341389179	-6.594817638	916.6716713	67209.47372	141.5212417
213	-0.466046279	0.598895574	-3.963087326	0.682767736	5.156136797	2.927261425	2.013533557	1.9883747	-4.908448848	5.487655271	-1.196888611	5.493368562	6.12155678	-9.878106775	0.533778194	-6.286552788	7.927231993	2.042500629	-2.610969315	3.414327997	9.098577025	3.15887755	-5.374470929	-6.301440465	4.631362815	-2.326586738	-0.408584473	-1.168634991	-6.671948053	3.523503242	-1.52158017	10.88658519	0.260993414	4.415410461	-3.62373892	1.686265886	3.618062195	-9.926555006	0.963250619	-4.205727475	6.812821387	1.619347977	0.766313911	3.766567252	-5.096645635	-8.316432123	-0.107714602	-9.29529261	-5.838769595	-3.95938512	-0.58766866	1.054271651	-7.761915283	-5.593323904	-3.550247007	-1.652443468	3.000202157	2.026990281	-4.698589999	2.424522332	-3.157935335	4.472155066	-3.229929748	2.175134311	1.1104306	-3.199844771	-0.499702682	3.271829655	-2.98922885	6.302178008	2.669203785	1.019498249	1.802199836	-1.687784571	-6.757367852	7.714819176	2.413245381	-0.812344318	9.578799136	-2.955866228	1.095466796	1.432023211	8.803682518	-1.882228242	12.18733232	3.211258515	-6.9394153	6.510471853	10.52796802	5.380488541	-1.562403938	5.173278508	-5.010515709	2.69587939	-1.480621611	-0.130067363	6.125759207	1.740182518	0.406022612	3.889931247	1.844693965	0.435184885	0.552127357	-1.107477711	-2.462506616	6.777120383	-6.4446344	3.369571691	2.438928258	-1.517829243	-1.739053068	1.257373428	-2.188209477	-5.277206388	-3.322000147	2.942090158	-4.366596434	-1.336561564	2.669907085	-3.374401051	901.9396286	68239.83322	152.8084425
214	4.50432688	3.515969217	4.323150218	1.530356258	-1.283808947	2.70930171	-1.193878725	6.250511408	6.869485974	-0.275165867	-2.417209893	-7.886000872	-3.416244388	1.862637401	-4.592296481	3.692254424	-7.003880739	-5.436210632	-3.049672246	3.317763209	0.789845362	1.467800438	-4.609889686	-1.381742209	5.184950829	-4.794153273	-4.370398819	3.515595496	0.697495863	17.40153551	2.217954099	5.370936394	10.83011508	-6.005330682	7.689595222	-4.503573477	-2.035456151	-0.505542308	5.575091243	-15.40679693	5.20177722	2.742319107	0.396225266	-1.759441942	2.122899592	-0.347880498	9.242773056	11.37261271	0.367087498	0.589834861	0.931349173	6.415069699	0.059853792	-0.906214491	0.506426021	8.576154709	3.846201897	7.527968287	-1.827610284	0.692009106	3.775879741	-1.803869307	5.196299553	4.861899912	-4.745022953	-0.597959012	-4.834049046	-2.311287522	5.446408987	-6.583690047	2.651720047	-3.332374394	1.520761997	-4.594938159	0.874811411	-10.85657477	-2.549951375	-2.485539317	-1.626310498	-6.310616136	-5.81776917	8.478134274	1.759495139	-0.294516943	-4.982427061	-0.536015704	-4.685840011	3.739114106	2.223201543	-3.094135523	-1.023006439	-3.596377671	-4.316956699	3.582385778	-2.921042442	9.990308285	5.25847137	-12.97111869	-0.768879876	8.512250185	-8.266837597	7.832942605	-1.534035355	-2.993545234	1.550197154	-1.613951772	-5.163450241	-2.871179879	-2.132472694	3.520679772	6.19414866	-1.128201634	1.434402615	2.048338503	2.861905098	2.196519524	-1.237028837	8.58858645	-2.288821936	-2.173456848	845.8726406	71829.31745	157.6478448
215	-5.726776577	-5.637669043	-8.007262301	2.160321635	2.654986002	-7.010739704	0.733724595	-8.221749804	-2.717251475	2.202492317	3.482999866	-13.02426979	-3.988215422	-5.657607959	-1.342214956	-9.142333721	-1.856623346	-15.60146851	7.863885172	-0.015291491	0.956902366	-2.643524238	0.776973743	-0.884773244	0.143269851	0.810192965	-0.856806562	-0.115362043	-4.247635592	6.323215841	2.029388998	-1.027336553	0.031169539	-8.792807529	0.754719861	5.903574798	-10.67991181	-7.784281712	-1.476293842	1.582026322	-1.782936754	2.05707051	-1.700836164	1.037464209	-11.90747445	0.184783034	-0.524968267	-0.234554137	-4.876534259	-6.694902255	1.220794628	-5.325778895	-10.21839975	-4.164556368	-4.175757271	-2.712748007	5.115598682	3.683507318	0.842291578	1.189150253	-7.740212327	-3.570916647	0.849334054	0.957913412	4.605475075	-0.315046383	-0.271893744	-0.255576042	3.315001122	1.790495784	-1.496318768	-4.078140961	-3.97958307	-0.074648829	-1.255991031	-1.675161066	0.144721591	-13.32811262	-0.867408277	-2.944398976	-4.343505381	6.693035361	-4.311423915	3.57588364	7.92318892	1.997613776	0.295617602	-2.935422994	5.897430255	-1.836436494	-1.988165358	-0.54081886	-4.422149678	-5.692286015	4.741822307	-1.219005285	-4.539410252	-2.287706741	-6.924170723	1.011593074	0.563147318	2.902363826	0.640049952	8.723189736	-12.11223064	-7.562466395	-1.176779949	-4.464669674	0.92415468	0.380231029	2.334197851	0.829047557	-7.454712838	2.870766577	-8.00437473	2.248239194	-0.296526785	-2.062501341	-4.768086659	1.290700234	1145.989353	52682.86269	62.2790119
216	-2.849744856	2.327308208	-4.615903795	-2.711630762	3.280906081	12.75004029	-3.254680932	5.296261907	7.073413134	6.194941998	-8.891277313	-1.26543954	-5.210399628	3.159176707	-4.348286688	0.044818227	-5.39812088	-8.361110687	-7.249245644	-14.09053683	-0.308203101	-0.458553396	-2.082371563	4.576433897	1.876261681	-4.399428964	-7.824148536	5.748453736	2.549657822	-9.732531309	6.170539856	-4.238529801	6.477504969	-1.603765935	-0.517220087	5.321810842	-4.522821903	5.418325067	-0.068706805	-0.288054682	-6.907733679	-5.222452879	3.589569628	-3.208987713	2.006278038	-0.828071609	-9.885655642	-1.422619224	2.131085992	-4.363161027	-7.581508756	-2.885886133	6.258528233	7.014378309	-9.077174067	-2.346283346	-2.497822791	-1.194818169	-7.877131701	-1.795140505	7.073588371	1.294300407	-4.127857983	6.867293119	-0.780472606	2.267459333	3.048946559	-6.475984454	5.858584642	0.981173888	-5.234600902	2.084783167	-4.330990016	-7.332818508	-2.540951073	6.585518718	-4.88258481	-4.800858796	-0.895284638	0.858942643	-1.422946602	-8.669626713	-2.614232302	-0.33473704	7.99813211	-7.510507107	5.16125977	0.768599063	-0.353014469	1.066239327	1.409401596	-0.311972797	0.110035324	-4.769264758	-4.467150271	2.567001581	0.971791297	-9.687849879	-4.723013341	-4.789134264	1.090075821	-3.13771069	11.02811337	1.345438212	2.968754768	-3.444082737	-1.004582569	-3.068527877	3.737506568	6.848789454	0.451687537	4.035455287	1.314437091	2.758633196	-0.808850303	5.417614579	4.792822301	4.117951691	-7.972917557	5.019304156	911.8919539	67671.19957	128.24387
217	2.928083648	9.788914371	1.882432943	7.946223718	-5.336380989	-7.210274586	-1.78723506	-2.096330688	2.361705949	3.572859957	-2.629887646	-0.387714964	-4.499662839	-5.335507735	0.878307212	5.039613362	10.01444172	5.712558565	-6.098363795	4.325077036	-6.849885923	-2.226407234	-1.971459041	-3.948209024	0.051217902	-6.023647122	-0.684345596	9.373165187	-4.357194017	-2.354237048	1.31786496	-0.163283551	4.208135431	4.642624722	6.271559962	1.207892478	-2.316644466	-9.464509308	-0.89372688	1.147456848	-3.592704605	7.952335062	8.022102498	-5.217797722	-7.32533359	-1.841761648	7.402201497	2.298097951	-6.941472125	6.500037698	-3.750139917	-0.03288995	8.806964891	0.154921571	0.218888669	-2.689512197	-1.827679522	-2.744550886	0.071644146	-9.161174477	-2.374911345	-5.254207261	-5.536414914	-10.13447981	-0.665175647	-2.555026002	-1.221093142	10.88356606	7.339419592	-0.95836574	-0.950896779	1.595471895	-2.810473605	-3.301281785	-5.657178998	2.555066135	3.072253254	1.795177962	3.907873428	-4.592962886	-3.755882074	5.053612172	4.815174575	-2.093417951	-3.288966269	-3.235694439	2.099120168	2.744819854	2.134809341	-3.054376207	-2.604745213	1.959927205	2.551232531	4.63335796	5.283898121	0.713722927	-6.505446192	0.052775221	5.57689494	2.170150892	-0.159906327	-4.737793033	-2.757148632	-1.277662371	-0.213822025	-7.887455452	2.010382525	2.572337421	-5.180084251	-5.154242416	3.286990192	9.77769643	-7.403805683	-4.969833027	0.534406388	-0.68932505	-2.782463834	-0.57058592	1.085479014	0.537803545	889.6106985	69439.24017	133.5032783
218	0.649766326	1.652541161	1.286806464	2.768581212	-1.268128306	3.731936812	3.911387324	0.327372774	0.775260255	0.641730428	0.418062322	2.294349223	1.419808567	-4.23021704	4.934869111	-4.289340079	5.028705001	1.088363081	2.224201858	-7.746776938	4.123512506	5.185308456	3.239071071	-0.224347319	0.418079309	-0.55966422	-7.924867272	-8.300508857	-1.046794057	-0.466722213	1.906938851	-6.452671289	-3.467926085	-1.51796028	-0.822910219	-0.302520394	-3.083146513	-2.833788693	-8.3907938	5.539177656	-0.752874762	-1.676764041	1.235385761	-4.981085658	-1.48873508	8.476107717	7.823383808	-4.337495267	-1.773642004	-2.872007489	4.553754628	0.306659602	-9.232660532	-10.53013086	6.011799574	1.703390777	2.567445636	-3.304567039	-3.032884896	-1.315047443	2.136751115	1.12777099	4.042689502	1.4012824	0.966270491	-0.599941239	4.228597879	-2.305286825	-7.106473446	7.240722179	9.358668327	6.209695935	-2.644312978	0.971555337	-9.385710359	1.819621772	4.440484345	1.478953063	-4.796610475	1.935086846	-0.860697404	5.628513694	1.580353826	2.588312924	-2.06380263	-1.80485487	1.125487685	-5.421074629	-0.401290394	-0.47464475	6.074621081	-1.507650614	-4.555146396	-2.367180586	-3.196894526	-6.967666149	3.42965275	5.859137774	1.427059472	0.148056485	6.5559268	7.29881525	8.086684346	8.239794374	-1.982734352	-7.557744384	2.206981629	-4.388641119	11.18845463	0.451396368	-2.778922617	4.424304664	1.19752638	1.778968871	2.953150868	8.833680749	-2.69008249	-3.602292538	-3.022495508	4.46477294	936.3239222	66155.58817	140.5606855
219	-4.19905127	-0.231430587	-0.182624647	0.462151338	7.840416035	3.738967725	6.508825253	0.46521465	0.577784	2.269788003	2.12221347	-0.35676183	2.761166535	-1.906159501	-1.119776037	-10.37267111	-2.588622817	-13.49617026	-3.566163533	3.936003313	-2.114948932	2.491588575	0.302482455	0.888907503	1.610337205	-0.895293141	-6.535615491	-6.201317538	-2.506576914	2.659217166	4.000436358	-5.759213414	2.872882659	3.256104958	0.996199521	-7.823875462	5.896457671	-3.395525133	-4.23038651	5.423303518	8.931605317	0.777936803	5.829313595	10.20920065	0.019714222	5.049422911	0.564743766	-0.441774413	9.934881537	-1.241988992	-5.430500311	0.214054421	-5.215229753	3.778701398	-7.440488978	-0.916478963	5.341193998	-1.229376755	4.379557494	-1.018707474	-1.135491998	-2.919077265	-6.005362889	2.562689493	10.06543362	-8.232284556	-4.883981945	-1.905828696	7.107167433	-4.237811588	-0.373468346	2.252147931	-2.195009358	7.942339407	-0.505909033	-6.684671225	-3.871524456	-3.063366241	2.178360434	-8.965779253	-3.634524199	-1.507041293	0.79749627	2.155958817	3.954248674	-4.508897213	-1.838854669	0.324081975	-2.648924642	-1.0566175	-3.808416184	5.546231306	4.276737291	-7.666432546	7.021669454	-13.96012543	6.535116617	3.849861961	3.035800209	-2.122661784	-6.185736081	-2.604652099	4.450657634	0.879490778	6.988581318	-7.401676907	-2.956268269	5.298095466	4.304603355	1.71562069	3.531678155	8.302998829	-2.071025555	-1.703921683	2.614836245	-9.28390423	2.521953763	6.299090986	1.843846922	-6.93899267	925.5703113	66741.93986	132.6941223
220	5.366674066	-2.537363768	2.009614706	-10.28762341	0.629726648	-0.068195346	-0.681472495	-4.63126421	-3.579184413	4.475249052	-0.753104165	5.339797139	-0.651818663	-7.972629666	-3.568413556	9.232773781	6.584707499	0.304885246	1.640868187	5.001221895	-0.188207123	-4.500685036	-3.85317415	-2.537558973	0.720588416	1.889813989	-2.604746222	5.74596405	-6.568524837	-6.425995827	1.624156237	3.56077075	1.652402431	1.887341142	-5.078721642	1.206650212	-7.076893449	-8.56112659	2.850177884	-0.316253453	8.680886626	6.37999773	4.486938715	-0.357114449	7.783904076	6.252077818	-6.44087851	1.516217589	0.921207741	-2.414920479	-3.947701454	-4.148639739	5.996217132	1.304327697	3.286009729	-3.364938796	0.772333443	6.555253267	-3.289557695	3.991445899	9.140620232	0.50117448	-3.125830591	-3.31905067	-0.155618582	-0.77636756	13.46235394	6.788375974	-2.889821827	-2.340833247	4.404003024	-1.447325349	-6.227012873	2.900755405	-5.059960485	0.595685057	-4.350024164	-1.124121025	-8.661288023	2.273968011	4.166959524	0.560367294	11.89405322	6.604594588	-3.404163718	-3.965389132	2.904292941	0.12890337	-0.773877352	-2.252814174	4.388663173	1.817964613	-1.602468342	-8.442615271	2.027263045	4.864264429	8.138782978	-9.088902473	-1.27406314	-10.96580982	-2.696678042	4.261515141	-8.253583312	0.392149687	2.102009952	1.988369524	3.301138282	3.214611411	-4.031057358	3.538048267	-5.134953856	-1.03132762	-0.349397734	-2.216455638	-2.017174661	0.453779995	-2.069149017	3.809206784	3.560530543	-1.114019603	945.2549372	65541.43894	125.903144
221	-12.38071128	-1.984438048	-9.761020076	-3.537626777	-3.249872925	-0.74398686	-4.817084156	4.662252831	-4.489691346	2.736919034	-1.126337287	-1.096285749	-2.24092873	-6.000831134	3.226875897	2.983827144	-3.271938736	-0.602489223	-2.643318423	-0.84685029	2.012696187	1.810293118	0.602366272	-1.316238994	-3.681335246	0.381429802	3.773641392	-0.046734998	-4.987017449	1.297857766	-0.340819626	-10.58063364	-1.007721972	7.196715752	-2.443767695	8.54286353	7.333556466	-2.107095022	-0.545723996	-13.35539652	0.265036731	-1.681759223	-2.383906886	3.283259763	-1.079410835	5.011852258	3.703256783	-2.446483241	4.49991739	-6.083425155	2.37176555	-2.898316709	0.555864046	0.26625916	-2.071036651	5.684221538	-0.988730846	-0.134675825	2.745745417	-0.562674916	3.188418321	0.197067842	0.663242582	-3.720744948	3.678426183	3.670694035	1.330416694	4.146925472	8.103856726	-2.763178047	0.452210924	1.854686086	-2.961003569	-0.684802417	4.163061195	-0.384669043	-1.860882119	2.6517415	-2.633163095	5.918547241	-0.406633291	3.666334242	11.53278787	-1.222365037	-4.288793362	-1.39337042	-4.147505315	4.979034193	9.414988432	-2.912700413	-8.841361392	5.134769158	-5.173988996	-3.288321858	2.920963863	6.176869141	0.736373777	0.467219335	3.921223157	-3.204357825	8.727969627	-4.046002591	7.744342342	-3.594928249	1.396817318	0.108370212	-1.313880095	3.562525844	2.391194869	1.997477875	-1.486524567	-2.569711006	3.736390236	-0.860113884	4.485090674	-5.92476032	3.659172504	4.288026289	-4.516755126	-1.24250967	1042.190602	59118.98948	126.6306304
222	1.762506664	0.324374177	-0.671901554	-0.300939213	9.396429658	3.656951487	0.61486952	-6.126519442	-4.663928151	0.245653652	4.055126607	0.701573342	4.766931236	-5.591371059	7.614771724	-7.712680101	1.275353581	5.105388165	4.401108623	2.347852439	-2.638936639	1.022331342	-2.6216501	0.138610043	-1.058165506	3.269999623	-4.328655005	12.57774711	3.710577488	-2.42332533	-1.128740981	3.194586635	1.866230965	0.117736543	-2.056788057	-0.186076034	2.584672868	-7.779062986	1.143120378	3.946053386	-2.47058481	-5.160270333	3.078126013	-2.033335119	-1.968047172	3.819797635	5.170629025	-3.159457445	7.775549889	3.797293901	9.033080935	0.693763047	-10.24588943	11.69630527	3.374712467	1.897362918	6.143824458	-1.946522295	1.237120107	-1.749177426	-11.45199895	3.953677416	1.288175434	-0.926090181	2.431392074	1.661236882	2.701412439	9.884567261	4.118326604	0.303485952	-0.447412878	-2.53621757	-11.40637755	8.942855597	2.302536815	-1.039517596	2.965481281	-7.52505362	0.37573006	9.264596105	-3.227618337	-1.839058846	3.245151639	-4.7666049	-7.891424894	-0.357088	4.157230258	4.34495151	3.213006854	3.653597236	9.490674734	1.530807018	-3.462125957	0.017872734	-3.383589089	-2.734285891	6.042428613	1.971909553	3.010837734	10.20458817	-2.973199487	4.555365443	-7.625601888	3.175742626	-4.954069555	-3.506646454	9.143913984	3.098203838	1.632898748	-2.078995705	-6.479372978	-1.097874343	-0.913796946	-5.625000596	5.900725722	-1.954930425	13.73696446	-5.89327395	-5.559785366	-0.052670888	908.1517706	67962.37162	140.3766711
223	-3.14828513	2.084685714	9.516052155	1.893266025	0.661109697	-5.737459452	12.24684087	8.565589999	-1.524981416	-5.681302947	9.957384857	1.193165281	2.244275527	-5.46833183	11.62347741	5.059356175	-2.067820811	-0.780616831	4.046369876	-1.696899803	3.079455791	5.438588126	-5.551989168	-5.70336197	-3.996747936	1.247179438	1.668036652	-3.522873509	0.179141486	-1.076938998	-2.724989082	-4.868078566	-2.826125316	7.511852847	3.491879188	2.293209248	-0.811119232	-0.569193069	-3.285270135	-0.921738336	7.361514154	-1.931454791	-5.83840928	7.616192543	0.322664604	-1.509138342	1.676480356	7.93312611	-1.519870963	1.56503652	-8.265867016	-1.696717915	5.442855769	0.669403093	1.496554174	-4.967245869	2.965544282	-1.037024397	1.726371646	7.640947999	-1.189624691	-2.68701429	0.465224605	-0.86813427	-3.801192044	-3.8900043	-4.705415408	-1.377291866	5.704887266	4.39007552	-1.30397617	-4.86021889	-4.172564039	4.798291455	-2.066817286	5.053021477	-0.154959971	-7.608682981	9.319416354	3.498883075	8.515795895	2.243938049	5.352564647	3.101859192	0.878027794	2.429621611	-8.031312839	1.680575049	-5.917120911	-0.089578486	-14.78348702	2.195726869	3.383582677	-4.609166612	-2.318950163	-9.456328042	4.781537253	-0.148877449	4.520485129	7.660449899	3.477449218	1.073332212	-0.471595268	-7.119753702	-5.784189418	-2.145939731	-5.172008153	8.042222664	-0.381597884	0.069855877	-1.197098491	0.577740746	-7.282473484	4.596092018	-1.312361823	1.724002535	11.29798868	1.662746267	4.119658734	-0.201992528	870.1623721	70510.29561	136.9304377
224	5.22392571	9.53612566	0.174927711	2.05647409	3.078616261	-5.66272974	-7.557442784	5.380536914	-3.38131696	-1.576705277	2.208984643	3.781735599	-9.3968153	-5.933645368	-9.999555945	-4.190665483	-8.54822278	3.749540448	1.563084573	0.503286049	0.735239238	4.1882056	2.49300614	4.353197515	0.811660588	-5.516388416	-3.319678009	-0.634497628	2.301171571	2.246228456	6.601455212	-2.173212022	-1.249832883	-8.271840811	11.98004603	4.092305601	-0.156278498	-11.42304778	0.283064656	-2.489810884	3.494893312	-4.191733599	-1.312382072	-6.858310103	0.192278419	4.193352759	3.081446886	-1.88915357	-1.16395466	2.364457548	-4.60742563	6.190370917	-0.341411643	-1.916126013	-0.675460771	-3.990670741	3.302727938	-5.295442939	4.831173122	-7.256239653	4.136761427	-0.678723902	-3.428813517	2.760357559	-2.299031466	-4.996495545	2.305529416	-3.333697915	-8.326813579	4.195866287	-7.458119988	1.831294447	1.494968981	3.03868413	3.464841843	-5.342955589	-9.764571786	6.98687017	6.792669892	7.920330763	3.256028891	-3.749465346	6.290192008	-9.697959423	-0.835085958	4.838387966	1.762899309	-3.274260163	-3.883575797	0.1793148	-0.476815589	-1.590141058	-3.463818133	9.242022634	6.726309061	-3.863922358	0.931279436	-4.976845384	-2.942699492	5.795456767	-3.902558386	3.517792225	-3.111564219	2.16054827	-8.089985251	-2.855280638	-8.347752094	-5.062176585	-5.112926364	1.237894744	8.703745604	-5.558314323	-7.924078107	3.551600873	-6.024657488	3.235425651	2.291672826	0.330640152	-5.935858488	-0.955151021	960.2191559	64957.26981	114.1044708
225	2.51772901	-0.229891252	5.032746248	1.06870021	-5.45600724	1.507678248	1.068393572	3.103354483	11.28490387	-8.787013306	-3.458492883	3.123242146	-4.488218195	-4.820664395	-2.910848563	0.461279146	5.678744016	8.024657081	2.393739969	-2.003864844	-0.946459767	-12.27384108	4.453321405	6.224373842	-0.443851177	-10.22075726	1.630505505	-5.264913932	4.620940063	2.686552086	0.536673919	-3.385591926	-6.933288852	-1.182386896	1.812612472	-1.858823076	-1.62094889	-9.936071512	-1.265938288	5.821709525	-6.034215255	5.296534887	-1.148618031	6.213766418	2.290182469	0.885472492	-4.242379891	7.102758329	2.002287517	10.78060763	8.086455962	0.238074899	-9.503441686	1.37343738	1.911914928	7.929003831	-1.554538351	-0.759934792	1.15676524	-0.003530886	5.275730394	-0.936560465	-1.041958691	-3.43210033	-2.66337684	-5.23768266	3.420747392	2.315531014	10.74766135	9.984938971	-11.38153258	4.664268703	-2.291748569	3.728768197	-1.672723584	-1.830575884	-5.099176148	15.15311006	2.725625207	-1.420540392	-3.318543795	-5.353480146	-1.99069487	0.68826372	-8.748219093	-3.72802215	5.21179693	-0.329606073	3.58072678	5.924605041	6.407455857	2.509136094	0.697146812	9.09503933	2.195192558	0.533946861	4.037052958	7.234697529	-3.763724161	-5.490699273	-1.464057878	1.366941748	-9.590507995	4.164630809	4.374077821	3.154969147	-6.524819252	2.55286893	-0.638072121	-2.583292311	-0.36250451	-0.585046445	-2.785382266	-1.782228302	-0.974644923	1.317325408	1.756401376	-3.834971731	2.026389441	-1.012943569	875.0970072	69806.16755	155.4258609
